,RAMP2,MS4A2,label
377,0.9606953,0.0,Xseg
378,0.74285716,0.0,Xseg
379,0.83870965,0.0,Xseg
380,0.8681283,0.0,Xseg
381,0.0,2.4751284,Xseg
382,3.1003284,0.0,Xseg
383,1.1147863,0.0,Xseg
384,0.0,0.76493824,Xseg
385,1.772926,0.0,Xseg
386,1.8396642,0.0,Xseg
387,1.1818181,0.0,Xseg
388,1.3754014,0.0,Xseg
389,0.0,0.38283724,Xseg
390,1.2600969,0.0,Xseg
391,0.7128714,0.0,Xseg
392,1.3379089,0.0,Xseg
393,1.3284609,0.0,Xseg
394,1.1981567,0.0,Xseg
395,1.0436912,0.0,Xseg
396,0.91581297,0.0,Xseg
397,0.0,0.010660998,Xseg
398,1.3380935,0.0,Xseg
399,1.1304348,0.0,Xseg
400,2.6825397,0.0,Xseg
401,0.87165767,0.0,Xseg
402,0.7411394,0.0,Xseg
403,2.290034,0.0,Xseg
404,1.7494198,0.0,Xseg
405,1.1644725,0.0,Xseg
406,1.320959,0.0,Xseg
407,0.0,1.6910968,Xseg
408,2.485853,0.0,Xseg
409,1.2563957,0.0,Xseg
410,1.4850786,0.0,Xseg
411,1.6567621,0.0,Xseg
412,1.251503,0.0,Xseg
413,1.3,0.0,Xseg
414,2.0997818,0.0,Xseg
415,1.0594227,0.0,Xseg
416,1.1793376,0.0,Xseg
417,0.97381777,0.0,Xseg
418,1.8577421,0.0,Xseg
419,0.7190434,0.0,Xseg
420,1.1560134,0.0,Xseg
421,0.0,0.9383202,Xseg
422,0.0,1.5166667,Xseg
423,2.3397622,0.0,Xseg
424,1.1193112,0.0,Xseg
425,1.126234,0.0,Xseg
426,0.0,1.2769775,Xseg
427,0.6989247,0.0,Xseg
428,0.58267653,0.0,Xseg
429,0.0,1.0145392,Xseg
430,0.87628,0.0,Xseg
431,0.49310568,0.0,Xseg
432,0.5577006,0.0,Xseg
433,0.26621464,0.0,Xseg
434,1.1062527,0.0,Xseg
435,0.962963,0.0,Xseg
436,0.0061261454,0.0,Xseg
437,1.3697731,0.0,Xseg
438,1.7214204,0.0,Xseg
439,2.3866687,0.0,Xseg
440,1.7591339,0.0,Xseg
441,1.6209476,0.0,Xseg
442,1.9283025,0.0,Xseg
443,1.1354247,0.0,Xseg
444,0.98548275,0.0,Xseg
445,0.9561546,0.0,Xseg
446,0.93801075,0.0,Xseg
447,1.092437,0.0,Xseg
448,3.4291022,0.0,Xseg
449,2.4818182,0.0,Xseg
450,0.0,2.516891,Xseg
451,0.6618691,0.0,Xseg
452,0.0,1.8121212,Xseg
453,1.6931492,0.0,Xseg
454,2.9435196,0.0,Xseg
455,1.8352941,0.0,Xseg
456,1.4327554,0.0,Xseg
457,0.07330247,0.0,Xseg
458,2.247021,0.0,Xseg
459,0.53790694,0.0,Xseg
460,0.72967607,0.0,Xseg
461,1.215632,0.0,Xseg
462,2.04072,0.0,Xseg
463,0.0,0.856244,Xseg
464,0.0,2.275,Xseg
465,0.0,1.30308,Xseg
466,0.0,0.80502963,Xseg
