Gene1,Gene2,Cell_Coexpression,Nuclei_Coexpression,Relative_Increase
IFI44L,MMP2,0.012280701754385965,0.001851851851851852,6.631578947368421
PFKFB3,ARCN1,0.03787878787878788,0.005714285714285714,6.628787878787879
NBL1,RNPS1,0.03787878787878788,0.005714285714285714,6.628787878787879
LAPTM5,ARCN1,0.03787878787878788,0.005714285714285714,6.628787878787879
SPARCL1,STT3B,0.033783783783783786,0.00510204081632653,6.621621621621623
SPI1,ROMO1,0.03773584905660377,0.005714285714285714,6.60377358490566
IKZF1,PKM,0.023923444976076555,0.0036231884057971015,6.6028708133971294
DPP7,SERPING1,0.02631578947368421,0.004,6.578947368421052
FAM120A,DDIT4,0.03816793893129771,0.005813953488372093,6.564885496183207
BGN,TMEM106B,0.038834951456310676,0.005917159763313609,6.563106796116505
TAGLN,CRIP1,0.03278688524590164,0.005,6.557377049180328
EGR1,CRIP1,0.03278688524590164,0.005,6.557377049180328
ZFP36,MARCH7,0.045454545454545456,0.006944444444444444,6.545454545454546
ADA2,SFTA3,0.014760147601476014,0.002257336343115124,6.538745387453875
PLXDC2,CSF2RA,0.042735042735042736,0.006535947712418301,6.538461538461538
C11orf58,TBL1XR1,0.03571428571428571,0.00546448087431694,6.535714285714286
MFSD1,CHMP3,0.05263157894736842,0.008064516129032258,6.526315789473684
MGST3,FCGRT,0.037037037037037035,0.005681818181818182,6.518518518518518
BGN,FCGRT,0.037037037037037035,0.005681818181818182,6.518518518518518
CYBA,PLEKHA5,0.041237113402061855,0.006329113924050633,6.515463917525773
CCN2,PLEKHA5,0.041237113402061855,0.006329113924050633,6.515463917525773
NBL1,TMEM59,0.03289473684210526,0.005050505050505051,6.513157894736842
C1R,TMEM59,0.03289473684210526,0.005050505050505051,6.513157894736842
HK1,DAZAP2,0.02877697841726619,0.004424778761061947,6.503597122302159
TAGLN2,DHX15,0.05154639175257732,0.007936507936507936,6.494845360824742
BGN,NENF,0.057971014492753624,0.008928571428571428,6.492753623188406
EGR1,EIF4A1,0.024875621890547265,0.0038314176245210726,6.492537313432837
SERPING1,DPP7,0.040268456375838924,0.006211180124223602,6.483221476510067
ZNF644,SERP1,0.032679738562091505,0.005050505050505051,6.470588235294118
NBL1,NFE2L1,0.045871559633027525,0.0070921985815602835,6.467889908256881
RGCC,NFE2L1,0.045871559633027525,0.0070921985815602835,6.467889908256881
VEGFB,HK1,0.050505050505050504,0.0078125,6.4646464646464645
LPP,LITAF,0.023809523809523808,0.0036900369003690036,6.4523809523809526
PJA2,MS4A6A,0.034482758620689655,0.0053475935828877,6.448275862068966
AKAP13,MS4A6A,0.034482758620689655,0.0053475935828877,6.448275862068966
SGK1,RERE,0.03389830508474576,0.005263157894736842,6.440677966101695
AKAP13,EIF2AK2,0.04878048780487805,0.007575757575757576,6.439024390243903
FOS,CMPK1,0.040983606557377046,0.006369426751592357,6.434426229508196
CHMP3,MFSD1,0.02857142857142857,0.0044444444444444444,6.428571428571428
ENG,ZBTB16,0.07058823529411765,0.01098901098901099,6.423529411764705
